"囚われのアルストロメリア","Captured Alstomeria"
"両用","Dual-use"
"男性用","Men Only"
"女性用","Girls Only"
"アイリン専用","Irin Only"
"キャンティ専用","Chianti Only"
"カスタムパーツ","Custom Parts"
"愛撫","Caress"
"胸","Breasts"
"アソコ","Pussy"
"尻","Ass"
"キス","Kiss"
"その他","Other"
"魔法","Magic"
"～敵基本属性～","～敵基本属性～"
"人","Person"
"悪/エナドレ","Evil/Energy Slave"
"獣/尻尾コキ","Beast/Tailjob"
"水/ローション","Water/Lotion"
"風/風コキ","Wind/Windjob"
"虫/糸","Insect/Thread"
"草/触手","Grass/Tentacles"
"機械/オナホ","Machine/Onnahole"
"～主人公用～","～主人公用～"
"手コキ","Handjob"
"足コキ","Footjob"
"パイズリ","Paizuri"
"フェラ","Fellatio"
"セックス","Sex"
"尻コキ/アナルSEX","Assjob/Anal"
"キス/誘惑","Kiss/Seduction"
"脇/前立腺/その他","Armput/Prostate/Others"
"～雑魚敵属性～","～雑魚敵属性～"
"斬撃","Slashing"
"打撃","Blow"
"炎","Flame"
"水","Water"
"雷","Thunder"
"誘惑","Temptation"
"食べ物","Food"
"武器","Weapon"
"性具","Sextoy"
"ゴム","Condom"
"指輪","Ring"
"装飾品","Accessory"
"スキル","Skills"
"敵の技","Enemy skills"
"行動","Action"
"投擲","Throwing"
"薬","Medicine"
"日用品","Daily necessities"
"1番スイッチ（キープ）",""
"女主人公",""
"主人公立ち絵",""
"主人公ボイス",""
"主人公セリフなし",""
"ラブラブセリフ",""
"立ち絵裸強制",""
"戦闘中のみ裸",""
"軽量化スイッチ",""
"インフォスイッチ",""
"イベント時エモート",""
"射精エフェクト",""
"チラつき防止を切る",""
"体力0スイッチ",""
"テストプレイ",""
"回想部屋",""
"体力0監視",""
"～その他オプション～",""
"敵のボイス無し","敵のボイス無し"
"女主人公負けアニメ","女主人公負けアニメ"
"負けアニメ後","負けアニメ後"
"敏捷性判定省略","敏捷性判定省略"
"待機モーション無し","待機モーション無し"
"ドレイン中止キャンセルキー","ドレイン中止キャンセルキー"
"アクションイージー","アクションイージー"
"淫魔戦イージー","淫魔戦イージー"
"淫魔戦ハード","淫魔戦ハード"
"救出イベント時ワイプ無し","救出イベント時ワイプ無し"
"戦闘中立ち絵アニメ","戦闘中立ち絵アニメ"
"エンドレスモード","Endless Mode"
"エンドレス中","エンドレス中"
"操作説明非表示","操作説明非表示"
"探索ヒントモード","探索ヒントモード"
"コマンド→選択肢","コマンド→選択肢"
"捕食スキップ","捕食スキップ"
"OPスキップ","OPスキップ"
"体験版","体験版"
"～システム系～",""
"鬼ごっこポジ1",""
"鬼ごっこポジ2",""
"鬼ごっこポジ3",""
"鬼ごっこポジ4",""
"鬼ごっこポジ5",""
"死んでない(撤退）",""
"救出臨時スイッチ",""
"帰還禁止！",""
"人物1を表示",""
"人物2を表示",""
"人物3を表示",""
"誰かが誘惑中",""
"救出タイマーゼロ",""
"救出イベント中",""
"まじでゲームオーバー",""
"発情イベ中",""
"回想部屋全開放",""
"絶対にONにしないスイッチ",""
"～仲間同行～",""
"エイミー同行中",""
"シャル同行中",""
"アリスリドル同行中",""
"ノノ同行中",""
"～システム系2～",""
"発情イベ射精する",""
"発情立ち絵ON",""
"通常立ち絵",""
"オナニー中",""
"誘いイベスリップダメ",""
"正解を選んだ",""
"ゲームオーバー帰宅",""
"～戦闘システム～",""
"敵イキそう",""
"敵イキそうじゃない",""
"敵イった",""
"精液モーション",""
"背景ストップ",""
"戦闘中",""
"敵スタン",""
"EXモーション",""
"締りがいい（反動）",""
"諦めた・・・",""
"諦め分岐",""
"成功！",""
"失敗・・・",""
"必殺技準備",""
"敵攻撃中",""
"追い込んだ",""
"表情指定なし（ランダム）",""
"敵攻撃パターン1",""
"敵攻撃パターン2",""
"必殺技OK！",""
"おねだりちゅう",""
"一時待機ﾓｰｼｮﾝカット",""
"敵攻撃特殊フラグ",""
"敗北分岐用特殊フラグ",""
"スリップダメージON",""
"スリップダメージあり",""
"戦闘開始時スイッチ",""
"勝利！",""
"～メルブレ用～",""
"戦闘中射精したなう",""
"チェイス中",""
"リリーに見つかった",""
"シィナに見つかった",""
"ライムに見つかった",""
"自然湧き",""
"リリー出現中",""
"シィナ出現中",""
"ライム出現中",""
"大広間なう",""
"敵出現なし",""
"～戦闘中スイッチ～",""
"戦闘イベント1",""
"戦闘イベント2",""
"戦闘イベント3",""
"戦闘イベント4",""
"戦闘イベント5",""
"～敗北シーン処理～",""
"敗北スキップ選択ON",""
"敗北スキップ（一時）",""
"敗北シーン中",""
"強制超射精",""
"敗北中BGM変更なし",""
"喘ぎ無し超射精",""
"速度を維持する",""
"強制弱気表情",""
"初手弱気顔",""
"射精した(軽量化用）",""
"射精中",""
"敵特殊ボイス",""
"射精前ボイス",""
"射精禁止（アニメ無し）",""
"敗北BGMダーク",""
"速度維持バグ回避",""
"射精禁止（アニメ有り）",""
"射精後回復無し",""
"立ちアニメ一時オフ",""
"特殊攻撃アニメ",""
"2分の1音声",""
"～敗北シーン演出～",""
"射精禁止",""
"一時喘ぎセリフなし",""
"強制ラブラブ喘ぎ(一時)",""
"攻撃の強さ選択",""
"強制窒息喘ぎ（一時）",""
"設定ラブラブ判定",""
"～敵倒したスイッチ～",""
"精奴隷ロメリア倒した",""
"シィナ1回目倒した",""
"シィナ2回目倒した",""
"リリー1回目倒した",""
"リリー2回目倒した",""
"ライム1回目倒した",""
"ライム2回目倒した",""
"アーコ倒した",""
"淫紋ロメリア倒した",""
"デカリリー倒した",""
"強化とら倒した",""
"オーク倒した",""
"ウィッチラミア倒した",""
"マンティス倒した",""
"とら倒した",""
"ミニマムクリアした",""
"チョコレ倒した",""
"ノノ？倒した",""
"エイミー？倒した",""
"アリス？倒した",""
"サキュバス倒した",""
"リリス一回目倒した",""
"りりす2回目倒した",""
"EXクラスタ倒した",""
"ヒュプノ倒した",""
"ウィッチ倒した",""
"リリス？倒した",""
"おてあわシャル倒した",""
"エルフ倒した",""
"ノノキス倒した",""
"アニマ倒した",""
"タコちゃん倒した",""
"ウィッチリベンジ倒した",""
"ヒュプノ2回目倒した",""
"ラミア倒した",""
"エラッタ倒した",""
"最後リリス倒した",""
"髪解きリリス倒した",""
"シルキー倒した",""
"エイミーEX倒した",""
"アリスEX倒した",""
"ベルーチェ誘惑攻撃",""
"チョコレ誘惑攻撃",""
"無限復活体力0",""
"イベント中非表示",""
"イベント中キャラ",""
"会話したスキップ",""
"初ゲームオーバー",""
"～ストーリーイベント～",""
"物語始まり",""
"兄妹に話しかけた",""
"戻って来た！",""
"隠れろ！",""
"居なくなった！",""
"脱出ゲームスタート",""
"隠れ失敗",""
"ライムに射精させられた",""
"メインフロア行った",""
"玄関調べた",""
"アーコと遭遇",""
"※シィナ見抜きした",""
"SAN説明",""
"リリーの試練クリア",""
"ロープ拾った",""
"灯りを付けずにロープ",""
"アーコとえっちなこと",""
"お菓子会話無し",""
"棒取った",""
"シィナを見るな！",""
"インゴットゲット",""
"シィナを見た",""
"ネズミげっと",""
"ネズミ逃げた",""
"ネズミ消えた",""
"ネズミ穴凍結",""
"サンタと会った",""
"ハンターモード突入",""
"徘徊シィナを倒した",""
"徘徊リリーを倒した",""
"徘徊ライムを倒した",""
"扉前アーコ倒した",""
"シィナ猫化",""
"ライムスライム化",""
"アーコに絞られた",""
"シィナおねむ非表示",""
"アーコ非表示",""
"さびた鉄格子壊した",""
"槍シィナ",""
"シィナチンキス",""
"夜這いスイッチ",""
"リリシィ依存度3以上",""
"ミニマム罠表示",""
"リリーミニマム見た",""
"一冊でも日記を読んだ",""
"アーコ駆け付ける",""
"第二部開始",""
"トラの棒スイッチ",""
"ラミア扉スイッチ",""
"カマキリ水スイッチ",""
"凍った",""
"渡り中",""
"研究所にいる",""
"研究所入口扉開いた",""
"映像見て戻って来た",""
"隠れている",""
"ミニマムイベ",""
"ミニマムクリア",""
"ベルーチェイベ中",""
"ベルチョコ戦中",""
"射精我慢",""
"Aチョコレ倒した1",""
"Aベルーチェ倒した1",""
"IFエンド用スイッチ",""
"みんないない",""
"旗上げイベスイッチ",""
"ベルチョコ用リリーセリフ",""
"※リリーを倒したすぐ後",""
"リリーヘルプ",""
"鍵全部集まった",""
"凍った2",""
"最終決戦",""
"チョコレ2回目",""
"~ここまでOFF～",""
"～回想イベ見た～",""
"恋ッてなに？",""
"シィナの奴隷",""
"手配書を出そう",""
"ライム式ダイエット",""
"リリーの趣味",""
"ロメリアの過去",""
"ライムが仲間になった！",""
"精奴隷のご飯",""
"シィナが淫魔に",""
"私はリリー",""
"お風呂で飯",""
"水掛け論",""
"何故地下牢が",""
"しましまマゾ",""
"見られてる？",""
"ライムの帽子",""
"知識VS直感",""
"オークはどこから",""
"アーコシィナ再開",""
"あれ買ってきて",""
"レストランを開こう",""
"ぶた１ぶた２",""
"シィナ猫時代",""
"淫魔の生態",""
"機械の使い方",""
"淫魔化実験成功！",""
"誰か",""
"電撃実験",""
"催淫ガス",""
"魔力の集め方",""
"創作料理",""
"旗上げ",""
"～ARPG処理～",""
"ボス攻撃A",""
"ボス攻撃B",""
"ボス攻撃C",""
"ボス攻撃D",""
"ボス攻撃E",""
"ボス攻撃F",""
"ボス攻撃G",""
"ボス攻撃H",""
"ボス攻撃I",""
"ボス攻撃J",""
"ボス特殊行動中2",""
"ボス攻撃中断",""
"ボス撃破",""
"ボス特殊行動中",""
"～アクション誘惑～",""
"タイミングバー",""
"タイミング成功",""
"コマンド入力成否",""
"コマンド入力中スリップ",""
"～エンディングフラグ～",""
"ED1トゥルーエンド",""
"ED2サキュバスハンター",""
"ED3精奴隷の兄妹",""
"ED4脱出成功救出失敗",""
"ED5人間と淫魔の違い",""
"全てのエンディングを見た",""
"2部日記も全部読んだ",""
"日記全部読んだ",""
"明るい倉庫",""
"エンディング見た",""
"武器説明おわり",""
"初武器入手",""
"～シナリオで使うもの～",""
"チュートリアル中（未使用）",""
"※ガード招集！",""
"アーコのお父さん",""
"黒いうずうず",""
"招き猫",""
"お宝について",""
"パートナーについて",""
"冒険のヒント",""
"大丈夫！？",""
"ロメリア初パイ",""
"ハンターになった",""
"ハンターとアーコ",""
"もう6日",""
"サンタについて",""
"ハンターになった理由",""
"ハンター会話後",""
"アーコ依存",""
"ロメ幻覚見た",""
"ロメ幻覚について",""
"ロメキス見た",""
"～チャプター3～",""
"エイミー駆け付け",""
"ﾅｰｽ出現",""
"デカクマ出現",""
"エイミー消え",""
"サキュバス消え",""
"サーキュバスゴール",""
"はいずり敵",""
"チャプター3クリア",""
"～ノノイベ～",""
"橋オン",""
"ノノ救出済み",""
"エイミー落書きした",""
"チャプター3-1突破",""
"アリスリドル仲間済み",""
"悪夢の中にいる",""
"エイミーに童貞奪われた",""
"～チャプター4～",""
"トルテ狙撃中",""
"トルテ演出狙撃",""
"銃仕舞う",""
"爆弾",""
"爆弾火が消え",""
"逃走禁止",""
"トルテショットON",""
"狙撃イベ見た",""
"爆破イベ見た",""
"トルテ吹き飛び",""
"ウォークみた",""
"シィナイベ最初見た",""
"シィナかけら",""
"チャプター4クリア",""
"シィナ一時ＯＦＦ",""
"～チャプター5～",""
"エイミー来た",""
"涙の指輪ドロップ",""
"チャプター5クリアした",""
"かけら場所特殊",""
"ローズ救出イベ",""
"5-1突破した",""
"エイミー表示ローズ前",""
"ノノとエイミー知り合い",""
"今5-2の途中",""
"ーーーギミックーーー",""
"灯り付けた1",""
"灯り付けた2",""
"灯り付けた3",""
"灯り付けた4",""
"ビン踏んだ",""
"灯り付けた5",""
"灯り付けた6",""
"ーチャプ7－",""
"リリス飛んだ",""
"導入イベント見た",""
"チャプター7-1クリア",""
"チャプター7-2クリア",""
"サキュバス戦闘前",""
"こびと中・・・",""
"サキュバスにエナドレされた",""
"ローズにエナドレされた",""
"ーチャプター8－",""
"チャプター8-1クリア",""
"チャプター8-2クリア",""
"りりす誘惑負けしたことある",""
"釣り竿持ってる",""
"ーエンディング用ー",""
"帰った",""
"シャル夢フラグON",""
"ーチャプター9用ー",""
"シャル考え中（９クリア時OFF）",""
"リリス救出イベ",""
"リリス鬼ごイベント前",""
"鬼ご中",""
"※リリス鬼ご攻略済み",""
"※9-1解放",""
"鬼ご待機",""
"鬼ご待機２",""
"鬼ご待機３",""
"※リリスお許しOK",""
"※タコ話しかけた",""
"※チャプター9クリア",""
"エルフ非表示",""
"リリキスストップ",""
"タコたいらげ後",""
"リリ帰るCh10",""
"ーチャプター10－",""
"※チャプター10クリア",""
"船を出す！",""
"ーチャプター11－",""
"ギャザラー戦",""
"シルキーの鍵",""
"船修理完了！",""
"リドルレベルアップ",""
"※チャプター11クリア",""
"※チャプター11ショートカット",""
"※ギャザラー戦ｼｮｰﾄｶｯﾄ",""
"シルキーと出会った",""
"シルキーの家出た",""
"船で冒険中",""
"ーチャプター12－",""
"起き上がった",""
"援軍",""
"ふたなりと戦う",""
"※Ch12イベスキップOK",""
"エラッタ敗北",""
"倒れているED用",""
"謎空間進行",""
"トルテ不意打ち無し",""
"エルフ誘惑尻",""
"アニマたいらげた後",""
"※チャプター12クリア",""
"ふたなりに負けた",""
"シィナぺろぺろした",""
"シープの誘惑に負けた",""
"ー敗北シーン見たー",""
"リリーオナさせ",""
"シィナオナさせ",""
"リリー挿入自滅",""
"リリー不意打ち",""
"ライム捕パイズリ",""
"ライム誘惑パイ",""
"シィナ捕手コキ",""
"シィナパンツ",""
"リリー暗闇キス",""
"シィナ暗闇騎乗",""
"ライム暗闇パイ",""
"リリー暗闇足コキ",""
"シィナ暗闇太もも",""
"ライム暗闇足挿入",""
"シィナ捕獲フェラ",""
"シィナ捕獲クンニ",""
"シィナ捕獲顔踏み",""
"リリー捕獲太もも",""
"リリー捕獲キス",""
"リリー捕獲オナさせ",""
"ライム捕獲圧迫",""
"ライム捕獲足コキ",""
"ライム捕獲寝パイ",""
"ロメリア檻越し縦パイ",""
"体力0敗北",""
"シィナ上向き敗北",""
"お風呂除き",""
"SAN0男",""
"SAN0女",""
"リリー炎フェラ",""
"シィナ執事ほっぺ",""
"ライム豪華乳首挿入",""
"リリー氷足コキ",""
"書庫逆レイプ",""
"アーコキスオナ",""
"リリー捕獲足コキ",""
"シィナちんきす",""
"ライムの夜食",""
"リリシィナ足コキ",""
"～回想イベント用～",""
"シィナ淫魔化",""
"館主死亡",""
"ライム淫魔化",""
"～敗北シーン見た続き～",""
"ロメリア幻覚",""
"ロメリアベロチュー",""
"ライム命乞い１",""
"シィナ命乞い１",""
"リリー命乞い１",""
"デカリリー吐息敗北",""
"デカリリー吸い敗北",""
"デカリリー舐め",""
"ここまで回想",""
"～ドレインイベント用～",""
"ドレインイベント中",""
"ドレインダメージ",""
"ドレイン中断",""
"エナドレ最初の説明",""
"ドレイン中止用スイッチ",""
"お金ドレインです",""
"マネドレ最初の説明",""
"ドレイン分岐用",""
"～仲間システム用～",""
"フリオを外した",""
"ユイネを外した",""
"アイリンを外した",""
"キャンティを外した",""
"を外した",""
"～ここまで一斉にOFF～",""
"～プラグイン系～",""
"ファイヤー！",""
"～スクリプト用～",""
"翻訳スイッチ",""
"自立移動制限スクリプト",""
"メッセージ乱数",""
"主人公の最大精力",""
"主人公の精力",""
"主人公の最大体力",""
"主人公の体力",""
"主人公の経験値",""
"主人公の敏捷性",""
"主人公のレベル",""
"主人公の現在経験値",""
"バトル終了時経験値",""
"現在の所持金",""
"主人公の現在TP",""
"買い物後の所持金",""
"素早さ補正",""
"1D100（判定用）",""
"フックショットX",""
"フックショットY",""
"～敵関係処理～",""
"敵のID",""
"敵のボイス種類",""
"敵の精力",""
"敵の最大精力",""
"敵行動乱数",""
"敵のボイス乱数",""
"敵ボイス乱数控え",""
"敵ボイスEX",""
"敵のID控え",""
"敵のグループID",""
"戦闘開始時セリフ乱数",""
"女主人公イキボイス",""
"イキボイス被り回避",""
"女主人公ボイス乱数",""
"女ボイス被り回避",""
"敵の攻撃力",""
"敵の防御力",""
"敵の技巧",""
"敵の精神力",""
"諦めターン経過",""
"敵のレベル補正",""
"スリップダメ計算",""
"スリップダメ軽減",""
"イキソウセリフ乱数",""
"～ムービー関係～",""
"敵表情乱数",""
"敵表情乱数保存",""
"背景ストップどっち？",""
"攻撃前ｳｪｲﾄ",""
"攻撃後余韻",""
"主人公射精アニメ表情",""
"アニメ速度制限",""
"臨時立ちｱﾆﾒ位置 0普通 1← 2↓",""
"立ちアニメ位置固定",""
"誘惑TP増量",""
"誘惑行動",""
"つっこみ乱数",""
"ARPG敵ｱｲﾃﾑﾄﾞﾛｯﾌﾟ乱数",""
"選択肢乱数",""
"ハートビートダメージ",""
"敵攻撃モーション乱数",""
"維持速度ランク",""
"必殺技ナンバー",""
"おねだり番号",""
"寸止め回数",""
"現在のターン数",""
"リリー補助ターン",""
"～ARPG乱数～",""
"敵ヤラレモーション",""
"ARPG攻撃種類",""
"敵の基礎ダメージ",""
"戦闘力の1/3",""
"ARPG特殊攻撃",""
"ヤラレ演出選択",""
"アイテム入手乱数",""
"お金入手",""
"アイテム抽選",""
"アイテム出現乱数",""
"罠出現乱数",""
"魔物出現乱数",""
"NPC出現乱数1",""
"NPC出現乱数2",""
"NPC出現乱数3",""
"NPC出現乱数4",""
"その他出現乱数1",""
"その他出現乱数2",""
"その他出現乱数3",""
"敵の攻撃特殊率",""
"ボス乱数",""
"ボス座標x",""
"ボス座標y",""
"ボス乱数2",""
"ボス近接後離れる乱数",""
"ボス乱数2人目",""
"タイミングランダム",""
"敵近接攻撃乱数",""
"～顔グラ～",""
"主人公表情",""
"表情乱数",""
"髪型",""
"服装",""
"オプション1",""
"オプション2",""
"赤み度1A2AT3ATN4T5N",""
"～イベント用～",""
"誘惑ダメージ",""
"救出イベ射精回数",""
"救出イベセリフ乱数",""
"ドア外れ乱数",""
"幻惑を倒した数",""
"連続ダメージ規定数",""
"連続ダメージ乱数",""
"連続ダメージ回数",""
"現在のSAN値",""
"リリー依存度",""
"シィナ依存度",""
"ライム依存度",""
"アーコ依存度",""
"ロメリア依存度",""
"経過日数",""
"アルロメ会話乱数",""
"誘惑メッセ乱数",""
"チェイス出現乱数",""
"チェイスX座標",""
"チェイスY座標",""
"現在マップID",""
"移動前マップ",""
"マップ記録数0~1",""
"自然湧きウェイト",""
"記録マップ",""
"リリーマップID",""
"シィナマップID",""
"ライムマップID",""
"敵湧き乱数",""
"振って来るY座標",""
"選択肢イベX",""
"選択肢イベY",""
"0ﾘﾘｰ 1ｼｨﾅ 2ﾗｲﾑ 3ｱｰｺ",""
"～敗北シーン用～",""
"シーン射精回数",""
"敵の攻撃種類",""
"攻撃の強さ(0でﾗﾝﾀﾞﾑ)",""
"体力減少",""
"射精時特殊セリフ",""
"エンドレスターン",""
"BGMセレクト",""
"経験値減少数",""
"ドレインSPダメージ",""
"ドレインメッセージ乱数",""
"ドレイン開始時経験値",""
"ドレイン終了時経験値",""
"ドレインセリフ種類",""
"ﾄﾞﾚｲﾝｾﾘﾌ被り防止",""
"ドレイン金額",""
"ドレイン金額倍率",""
"ドレイン開始時の所持金",""
"ドレイン終了時の所持金",""
"ドレインターン数",""
"ドレインターン割る4",""
"～カウント用(ﾘｾｯﾄ無し)～",""
"トータル射精回数",""
"戦闘回数",""
"イカせた数",""
"オーク討伐数",""
"ゲームオーバー数",""
"トータルドレイン経験値",""
"ポリー成長率",""
"トータルドレイン金額",""
"トータル雑魚殲滅数",""
"犯罪数",""
"～謎解き用～",""
"風呂の火消した数",""
"リリー挿入回数",""
"回想イベントナンバー",""
"ねむシィナ",""
"クマ調べた回数",""
"館についてpoint",""
"隠し通路point",""
"魔物についてpoint",""
"逃げた人についてpoint",""
"リリーたちについて",""
"手がかりミニマム",""
"回復量",""
"リリーのレベル",""
"～攻撃した数～",""
"トータルNPC攻撃回数",""
"ユイネ/フリオを攻撃回数",""
"アイリンを攻撃回数",""
"クマリを攻撃回数",""
"キャンティを攻撃回数",""
"ポリーを攻撃回数",""
"カルマ",""
"～キャラのレベル～",""
"シャーロットレベル",""
"エイミーレベル",""
"アリスレベル",""
"リリスレベル",""
"トルテレベル",""
"キルシュレベル",""
"シープレベル",""
"サキュバスレベル",""
"ローズレベル",""
"キエリレベル",""
"シィナレベル",""
"ノノレベル",""
"～吸われた所持金～",""
"アーコに吸われた金額",""
"～システム関係～",""
"場所ID",""
"場所座標X",""
"場所座標Y",""
"アイテム選択変数",""
"座標乱数",""
"拠点ナンバー",""
"～回想部屋関係～",""
"アイテム預かりリスト",""
"所持金預かり",""
"レベルをどうする？",""
"経験値保存",""
"回想部屋出る時没収",""
"～シナリオ関係～",""
"夢のかけらの数",""
"ハンターのかけら数",""
"商人のかけら数",""
"トルテのかけら喪失",""
"クラスタのかけら喪失",""
"進行度",""
"シャーロットのかけら数",""
"アーコ出現",""
"～シナリオ変数2～",""
"アトリエ記憶進行",""
"～シナリオ進行～",""
"金庫の番号",""
"リリス鬼ごっこ進行",""
"リリスキッス当たった数",""
"木箱攻撃回数",""
"～仲間行動～",""
"仲間行動最大値",""
"仲間1人目は誰",""
"仲間2人目は誰",""
"仲間3人目は誰",""
"仲間4人目は誰",""
"仲間1人目行動値",""
"仲間2人目行動値",""
"仲間3人目行動値",""
"仲間4人目行動値",""
"仲間ゲージX",""
"仲間ゲージY",""
"～スクリプト用変数～",""
"高速化",""
"メッセージ表示スピード",""
"※翻訳言語ナンバー",""
"効果音種類",""
"再生速度",""
"速度維持処理用切り替え",""
"レベル","Level"
"Lv","Lv"
"精力","Energy"
"SP","SP"
"体力","HP"
"HP","HP"
"TP","TP"
"経験値","experience points"
"EXP","EXP"
"戦う","Fight"
"逃げる","Escape"
"防御","Defend"
"アイテム","Items"
"装備","Equipment"
"ステータス","Status"
"並び替え","Organise"
"セーブ","Save"
"ゲーム終了","Game End"
"オプション","Options"
"最強装備","Sort Strongest"
"全て外す","Remove All"
"ニューゲーム","New Game"
"コンティニュー","Continue"
"タイトルへ","To Title"
"やめる","Exit"
"購入する","Purchase"
"売却する","Sell"
"最大HP","Max HP"
"最大MP","Max MP"
"攻撃力","Attack"
"防御力","Defense"
"技巧","Technique"
"精神力","Willpower"
"敏捷性","Speed"
"戦闘力","Combat Power"
"命中率","Hit rate"
"回避率","Evasion rate"
"%1には効かなかった！","%1 wasn't effected!"
"%1は %2 のダメージを受けた！","%1 received %2 damage!"
"%1は%2を %3 吸い取られた！","%1 was drained of %3 %2! "
"%1の%2が %3 増えた！","%1's %2 increase by %3!"
"%1の%2が %3 減った！","%1's %2 decreases by %3!"
"%1はダメージを受けていない！","%1 was not damaged!"
"ミス！　%1はダメージを受けていない！","Miss! %1 didn't recieve damage!"
"%1の%2が %3 回復した！","%1's %2 recovered by %3!"
"常時ダッシュ","Auto Dash"
"BGM 音量","BGM Volume"
"BGS 音量","BGS Volume"
"%1の%2が上がった！","%1's %2 increased!"
"%1の%2が元に戻った！","%1's %2 returned to normal!"
"コマンド記憶","Cursor Memory"
"%1の反撃！","%1 counter attacked!"
"痛恨の一撃！！","A devastating blow!!"
"会心の一撃！！","An excellent blow!!"
"%1の%2が下がった！","%1's %2 decreased!"
"%1は戦いに敗れた。","%1 was defeated."
"%1が出現！","%1 appeared!"
"%1に %2 のダメージを与えた！","%1 recieved %2 damage!"
"%1の%2を %3 吸い取った！","%1's %2 was drained by %3!"
"%1にダメージを与えられない！","%1 was not damaged!"
"ミス！　%1にダメージを与えられない！","Miss! %1 couldn't be damagd!"
"しかし逃げることはできなかった！","But you couldn't escape!"
"%1は逃げ出した！","%1 escaped!"
"%1は攻撃をかわした！","%1 dodged the attack!"
"次の%1まで","Until next %1 "
"現在の%1","Current %1"
"ファイル","File"
"%1は%2 %3 に上がった！","%1 went up to %2 %3!"
"どのファイルをロードしますか？","Which file would you like to load?"
"%1は魔法を打ち消した！","%1は魔法を打ち消した！"
"%1は魔法を跳ね返した！","%1は魔法を跳ね返した！"
"ME 音量","MS Volume"
"%1 の%2を獲得！","Obtained %1 %2!"
"お金を %1\G 手に入れた！","Obtained %1\G!"
"%1を手に入れた！","Obtained a %1!"
"%1を覚えた！","Learned %1!"
"%1たち","%1たち"
"持っている数","持っている数"
"%1は先手を取った！","%1は先手を取った！"
"どのファイルにセーブしますか？","Which file would you like to save to?"
"SE 音量","SE Volume"
"%1が%2をかばった！","%1が%2をかばった！"
"%1は不意をつかれた！","%1 was caught off guard!"
"%1は%2を使った！","%1 used a %2!"
"%1の勝利！","%1 was victorious!"
